interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFPR_GNODE012,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFPR_GNODE013,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFSR_GNODEFSR,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFTON_3_AFTONCC-APND,AP Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFTON_3_AFTONCTGNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFTON_3_AFTONSTGNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFTS_LNODE131,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AG_LNODER1A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AG_LNODER3A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGNEW_1_N003,Node,57.66252,61.65012,-3.9876,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGNEW_6_N001,Node,66.17253,61.65012,4.52241,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGNEW_6_N002,Node,66.17253,61.65012,4.52241,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGNEW_BP_LNODENEW,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGRCJCT_6_B1,Node,58.46596,61.65012,-3.18416,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGRICO_6_PL3N5-APND,AP Node,58.46596,61.65012,-3.18416,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGRICO_7_B1,Node,58.46596,61.65012,-3.18416,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGRICO_7_B3,Node,58.46596,61.65012,-3.18416,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGRICO_7_B4,Node,58.46596,61.65012,-3.18416,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGRICO_7_NBT1,Node,58.46596,61.65012,-3.18416,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGRICO_7_UNIT-APND,AP Node,58.46596,61.65012,-3.18416,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGUAF_SR_LNODELD1,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGUAF_SR_LNODELD2,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGUAF_SR_LNODELD3,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGUAF_SR_LNODELD4,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGUAF_SR_LNODELD5,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGUAF_SR_LNODELD6,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGUAMNSA_7_B1,Node,62.84498,61.65012,1.19486,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AGUCALG1_7_B1,Node,56.18901,61.65012,-5.46111,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AHSAH_BP_1_DCHGNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AHSAH_BP_LNODEHKA,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AHWAT_SR_LNODELD1,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AHWAT_SR_LNODELD2,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIC_NEW_LNODEEQL69,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIR_1_AIR_SUNED_SLRGNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIR_LNODE_20,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIR_LNODE_22,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIR_LNODE_OL,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIR_LNODEXF2,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIRPA_SR_LNODELD1,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIRPO_CL_LNODEMONROE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIRPORT_LNODE06,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIRPORT_LNODE42,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIRPORT_LNODE65,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIRPORT_LNODE66,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AIRPORT_LNODE67,Node,61.65012,61.65012,0.0,0.0
