Plant Name,Developer Name,Capacity (MW),Date of Operation,County,State,Balancing Authority
Steamboat III,null,5.5,01/11/2023,Washoe,NV,NEVP
Dry Bridge Solar (Brown University),null,10,01/11/2023,Washington,RI,ISNE
Dry Bridge Solar (Brown University),null,10,01/11/2023,Washington,RI,ISNE
Dry Bridge Solar (Brown University),null,10,01/11/2023,Washington,RI,ISNE
Dry Bridge Solar (Brown University),null,10,01/11/2023,Washington,RI,ISNE
High Point Solar LLC,null,100,01/11/2023,Stephenson,IL,PJM
Norge Solar Farm,null,20,01/11/2023,James City,VA,PJM
Paddock Solar,null,65,01/11/2023,Rock,WI,MISO
CPV Maple Hill Solar,null,100,01/11/2023,Cambria,PA,PJM
Gorham Solar 1 (CSG),null,5,01/11/2023,Cumberland,ME,ISNE
CA-DGS RFP-Salinas Valley State Prison,null,3.3,01/11/2023,Monterey,CA,CISO
SR Bell Buckle,null,35,01/11/2023,Bedford,TN,TVA
NY8 - ELP Stillwater Solar,null,20,01/11/2023,Saratoga,NY,NYIS
"Landrace Holdings, LLC",null,55,01/11/2023,Horry,SC,SC
WMATA - Naylor Rd. Metro,null,1.7,01/11/2023,Prince Georges,MD,PJM
Arctaris Saddleback Solar,null,4.9,01/11/2023,Franklin,ME,ISNE
IGS VGT,null,1,01/11/2023,Clark,NV,NEVP
"Blue Elk VII Solar, LLC",null,12.5,01/11/2023,Genesee,MI,MISO
Eiffel Solar Project,null,240,01/11/2023,Lamar,TX,ERCO
Wolverine Solar,null,1,01/11/2023,Chippewa,MN,MISO
Crane Garden,null,0.9,01/11/2023,McLeod,MN,MISO
Pepin Garden,null,0.9,01/11/2023,Wabasha,MN,MISO
Winona Garden,null,0.9,01/11/2023,Winona,MN,MISO
KDC Solar CV Cedar Lane Park LLC,null,2,01/11/2023,Howard,MD,PJM
KDC Solar CV Animal Control LLC,null,2,01/11/2023,Howard,MD,PJM
Crystal Farms Local Solar,null,3.5,01/11/2023,Fresno,CA,CISO
Delta's Edge Solar,null,100,01/11/2023,Carroll,MS,MISO
BEMS East Solar (CSG),null,4,01/11/2023,Burlington,NJ,PJM
Prairie Creek Solar,null,30,01/11/2023,Morgan,IL,MISO
Pine 1 Solar,null,17.1,01/11/2023,Beaver,PA,PJM
Pine 2 Solar,null,17.1,01/11/2023,Beaver,PA,PJM
East Victory Way Solar,null,4,01/11/2023,Moffat,CO,PSCO
Georgetown (Polk Burnett),null,2,01/11/2023,Polk,WI,MISO
Bluff Prairie (Vernon),null,1.5,01/11/2023,Vernon,WI,MISO
Pitts Dudik Solar,null,49.6,01/11/2023,Hill,TX,ERCO
Bibb Williams,null,2.3,01/11/2023,Bibb,GA,SOCO
"BESSP1, LLC.",null,4.4,01/11/2023,Lubbock,TX,SWPP
Corkwood Solar (CSG),null,4.6,01/11/2023,Penobscot,ME,ISNE
Bear One,null,2,01/11/2023,Washington,MD,PJM
Double J Dairy Array,null,4,01/11/2023,Tulare,CA,CISO
"CBEP Solar 4, LLC",null,4,01/11/2023,Weld,CO,PSCO
State Route 5,null,4.4,01/11/2023,Oneida,NY,NYIS
NSF Torrey Site 3,null,5,01/11/2023,Yates,NY,NYIS
NSF Torrey Site 2,null,5,01/11/2023,Yates,NY,NYIS
NSF Torrey Site 1,null,4.6,01/11/2023,Yates,NY,NYIS
Janiak,null,2,01/11/2023,Orange,NY,NYIS
Ridgeway 1,null,5,01/11/2023,Monroe,NY,NYIS
All World Solar Facility,null,1.5,01/11/2023,Winnebago,IL,PJM
Wheeler Ridge 2,null,5,01/11/2023,Kern,CA,CISO
Caney Valley,null,1,01/11/2023,Chautauqua,KS,SWPP
Stromsburg-Polk County,null,1,01/11/2023,Polk,NE,SWPP
Winterberry Solar,null,20,01/11/2023,Gloucester,VA,PJM
Chapman Solar,Headwater Energy,2,01/11/2023,Darlington,SC,CPLE
ASD Cotuit MA Solar LLC,Amp Energy,3.1,01/11/2023,Barnstable,MA,ISNE
Galloway 2 Solar Farm,null,110,01/10/2023,Concho,TX,ERCO
Happy Solar 1,null,95,01/10/2023,White,AR,MISO
Ellis Solar LLC,null,80,01/10/2023,Ellis,TX,ERCO
Partin Solar,null,50,01/10/2023,Surry,NC,DUK
Otter Creek Solar,null,60,01/10/2023,Mecklenburg,VA,PJM
Fort Bend Solar LLC,null,240,01/10/2023,Fort Bend,TX,ERCO
Arlington Energy Center II,null,133,01/10/2023,Riverside,CA,CISO
Oberon II Solar Project,null,250,01/10/2023,Riverside,CA,CISO
SV CSG South Dekalb 1 LLC,null,2,01/10/2023,DeKalb,IL,PJM
SV CSG South Dekalb 2 LLC,null,2,01/10/2023,DeKalb,IL,PJM
"Midcontinent Solar, LLC",null,20,01/10/2023,Shiawassee,MI,MISO
"Greenstone Solar, LLC",null,20,01/10/2023,Branch,MI,MISO
Newport Solar Project,null,180,01/10/2023,Jackson,AR,MISO
IMPA Richmond Solar Park 7,null,4.4,01/10/2023,Wayne,IN,PJM
IMPA Knightstown Solar Park,null,1.4,01/10/2023,Henry,IN,MISO
BEMS West Solar CSG,null,4,01/10/2023,Burlington,NJ,PJM
Source Power II - Taft CSG,null,3.7,01/10/2023,Onondaga,NY,NYIS
Old Bridge Global Landfill CSG,null,2,01/10/2023,Middlesex,NJ,PJM
Cenergy - Richards (CSG),null,1,01/10/2023,Somerset,ME,ISNE
Umbriel Solar,null,150,01/10/2023,Polk,TX,MISO
Pittsfield Solar (N. Main St),null,4.9,01/10/2023,Somerset,ME,ISNE
Franklin Solar 1 LLC Community Solar,null,3,01/10/2023,Somerset,NJ,PJM
Franklin Solar 2 LLC Community Solar,null,3.8,01/10/2023,Somerset,NJ,PJM
Mayhill Solar LLC Community Solar,null,1.2,01/10/2023,Bergen,NJ,PJM
Cawelo Water District Solar,null,2.5,01/10/2023,Kern,CA,CISO
"Sunny Cow Solar, LLC",null,2,01/10/2023,Kern,CA,CISO
"Case Vander Eyk, Jr Dairy Solar",null,1.2,01/10/2023,Tulare,CA,CISO
"Byrne Solar, LLC",null,5,01/10/2023,Kent,MI,MISO
"Lightfoot Solar, LLC",null,10,01/10/2023,Oscoda,MI,MISO
"Shipsterns Solar, LLC",null,20,01/10/2023,Calhoun,MI,MISO
"Willford Solar, LLC",null,20,01/10/2023,Gladwin,MI,MISO
Amherst Solar Facility (VA),null,4.9,01/10/2023,Amherst,VA,PJM
Lowndes Cowart,null,3,01/10/2023,Lowndes,GA,SOCO
Tift Fletcher,null,3,01/10/2023,Tift,GA,SOCO
Tift Bowen,null,1.9,01/10/2023,Tift,GA,SOCO
Standish,null,5,01/10/2023,Cumberland,ME,ISNE
CSWIND America Inc.,null,12.3,01/10/2023,Pueblo,CO,WACM
Sabattus SB01,null,4.9,01/10/2023,Androscoggin,ME,ISNE
"CBEP Solar 1, LLC",null,5,01/10/2023,Logan,CO,PSCO
"Saratoga Solar IV, LLC",null,3.5,01/10/2023,Saratoga,NY,ISNE
White River Medical Center,null,2.9,01/10/2023,Jackson,AR,MISO
Eddy,null,2.3,01/10/2023,Wayne,NY,NYIS
Chattooga Gore,null,2.4,01/10/2023,Chattooga,GA,SOCO
Ruby-Norris,null,1,01/10/2023,Seward,NE,SWPP
Pivot Solar 20,null,5,01/10/2023,Weld,CO,WACM
Grizzly Ridge Solar,Black & Veatch,100,01/10/2023,Hamilton,TX,ERCO
Ganado Solar,Enel,150.5,01/10/2023,Jackson,TX,ERCO
Almond,null,19.9,01/09/2023,Kings,CA,CISO
Kern Valley SP,null,3,01/09/2023,Kern,CA,CISO
"Fifth Standard Solar PV, LLC (Hybrid)",null,150,01/09/2023,Fresno,CA,CISO
"Big Plain Solar, LLC",null,196,01/09/2023,Madison,OH,PJM
John Hopkins Middle School Microgrid,null,0.8,01/09/2023,Pinellas,FL,FPC
"Fall River Solar, LLC",null,80,01/09/2023,Fall River,SD,SWPP
Howard Lane Solar,null,3,01/09/2023,Providence,RI,ISNE
Bell Ridge Solar,null,74.5,01/09/2023,Gilchrist,FL,SEC
CA - Madera USD - Madera South HS,null,1.2,01/09/2023,Madera,CA,CISO
Oberon Solar Project,null,250,01/09/2023,Riverside,CA,CISO
"Magdaline Solar, LLC",null,2,01/09/2023,Lee,SC,CPLE
SV CSG Baileyville 1 LLC,null,2,01/09/2023,Stephenson,IL,PJM
SV CSG Barrass Farms II LL,null,2,01/09/2023,Williamson,IL,MISO
Ocotillo Wells,null,50,01/09/2023,San Diego,CA,CISO
SV CSG Baileyville 2 LLC,null,2,01/09/2023,Stephenson,IL,PJM
WMATA - Anacostia CSG,null,1.1,01/09/2023,District of Columbia,DC,PJM
Source Power NY II - Whaling,null,3.2,01/09/2023,Oneida,NY,NYIS
Summit - Scriba CSG,null,5,01/09/2023,Oswego,NY,NYIS
Oswego,null,5,01/09/2023,Oswego,NY,NYIS
Bullitt Farm Solar,null,5,01/09/2023,Oneida,NY,NYIS
Resurgence Solar II,null,48,01/09/2023,San Bernardino,CA,CISO
Wheeler Ridge,null,4.5,01/09/2023,Kern,CA,CISO
Toms River CSG,null,4,01/09/2023,Ocean,NJ,PJM
Houston Solar,null,6,01/09/2023,Matanuska Susitna,AK,null
Solops 371 Hoes LLC,null,1,01/09/2023,Middlesex,NJ,PJM
Solops 371 Hoes LLC,null,0.3,01/09/2023,Middlesex,NJ,PJM
Bryan Floyd,null,1.9,01/09/2023,Bryan,GA,SOCO
Hemings Solar,null,5,01/09/2023,Richmond,VA,PJM
Broadway Solar (CSG),null,4.6,01/09/2023,Penobscot,ME,ISNE
Mohave Energy - Hybrid,null,17.6,01/09/2023,Mohave,AZ,WALC
5 Berry,null,4.1,01/09/2023,Norfolk,MA,ISNE
SolarClub 03,null,1,01/09/2023,Pope,MN,MISO
ME-EDFR-Phase I-Woolwich,null,5,01/09/2023,Sagadahoc,ME,ISNE
1 Commercial,null,0.5,01/09/2023,Norfolk,MA,ISNE
Mountain View Ind Park 1-sline001,null,1.1,01/09/2023,San Bernardino,CA,CISO
North Stafford HS,null,1.3,01/09/2023,Stafford,VA,PJM
Bates College Skowhegan,null,5,01/09/2023,Somerset,ME,ISNE
Gordon Pine Hall,null,2.4,01/09/2023,Gordon,GA,SOCO
Catskill,null,3.8,01/09/2023,Broome,NY,NYIS
Agave,Arizona Public Service,150,01/09/2023,Maricopa,AZ,AZPS
McLean Homestead,null,4.9,01/08/2023,Scotland,NC,DUK
Shorthorn Holdings,null,8.9,01/08/2023,Marlboro,SC,DUK
Piney Creek Solar,null,80,01/08/2023,Halifax,VA,PJM
Apex Solar,null,80,01/08/2023,Beaverhead,MT,NWMT
Resurgence Solar,null,90,01/08/2023,San Bernardino,CA,CISO
Hoot Lake Solar,null,49.9,01/08/2023,Otter Tail,MN,MISO
"Energix Aditya, LLC",null,11.5,01/08/2023,Louisa,VA,PJM
CA - Ventura Co CCD - Moorpark College,null,2.6,01/08/2023,Ventura,CA,CISO
Sheep Creek Community Solar Farm,null,3,01/08/2023,San Bernardino,CA,CISO
"Reidsville Renewables, Inc.",null,3,01/08/2023,Tattnall,GA,SOCO
Ameresco HCE Solar LLC,null,4.5,01/08/2023,Garfield,CO,PSCO
RIC - Hanover (CSG),null,5,01/08/2023,Chautauqua,NY,NYIS
Summit - Lysander (CSG),null,3.5,01/08/2023,Onondaga,NY,NYIS
"NMRD Data Center III, LLC",null,50,01/08/2023,Sandoval,NM,PNM
BPL Files Solar,null,157.5,01/08/2023,Hill,TX,ERCO
Ruler Solar Partners (CSG),null,4.9,01/08/2023,St. Lawrence,NY,NYIS
Royal Solar Partners (CSG),null,5,01/08/2023,St. Lawrence,NY,NYIS
IMPA Middletown Solar Park,null,1.4,01/08/2023,Henry,IN,MISO
Caribou,null,4.1,01/08/2023,Aroostook,ME,ISNE
Hayhurst New Mexico Solar,null,20,01/08/2023,Eddy,NM,SWPP
BCE Los Alamitos 2,null,10,01/08/2023,Orange,CA,CISO
BCE Los Alamitos 1,null,10,01/08/2023,Orange,CA,CISO
Gray Solar,null,2.2,01/08/2023,Rutland,VT,ISNE
Solidago Solar,null,20,01/08/2023,Isle of Wight,VA,PJM
"C&B Graham Energy, LLC",null,7,01/08/2023,Hendricks,IN,PJM
Fort Fairfield,null,5,01/08/2023,Somerset,ME,ISNE
NY Ridgeway I CSG,null,3,01/08/2023,Orleans,NY,NYIS
MEVS DOT 109,null,0.5,01/08/2023,Kennebec,ME,ISNE
EDF - Liberty NY - Real Term CSG,null,1.8,01/08/2023,Westchester,NY,NYIS
EDF - Liberty NY - Real Term CSG,null,0.3,01/08/2023,Westchester,NY,NYIS
FFP - MD Foxhall,null,2,01/08/2023,Baltimore,MD,PJM
Meeting House,null,2,01/08/2023,Cecil,MD,PJM
Fayetteville Public Schools (SWEPCO),null,4,01/08/2023,Logan,AR,MISO
LRWRA,null,4,01/08/2023,Logan,AR,MISO
Dynamic Energy CT STAG,null,1.5,01/08/2023,New Haven,CT,ISNE
Warrior Solar Partners,null,5,01/08/2023,Herkimer,NY,NYIS
3100 Valleyview Drive,null,1,01/08/2023,Franklin,OH,PJM
Sutter Home Winery GIR,null,1.1,01/08/2023,Napa,CA,CISO
Deshler Solar,null,1,01/08/2023,Thayer,NE,SWPP
St. Paul-Howard Greeley,null,1,01/08/2023,Howard,NE,SWPP
KP South Sacramento Medical Solar,null,1.7,01/08/2023,Sacramento,CA,BANC
Powells Creek Solar - Hybrid,Engie,70,01/08/2023,Halifax,VA,PJM
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Kotzebue Hybrid,null,0.1,01/07/2023,NORTHWEST ARCTIC,AK,null
Tungsten Mountain,null,5,01/07/2023,Churchill,NV,NEVP
Samoset Solar,null,2,01/07/2023,Knox,ME,ISNE
Taygete II Energy Project,null,203.8,01/07/2023,Pecos,TX,ERCO
Richmond 6,null,5.3,01/07/2023,Wayne,IN,PJM
"Oak Trail Solar, LLC",null,100,01/07/2023,Currituck,NC,PJM
Angel Fire Energy Facility,null,7.5,01/07/2023,Colfax,NM,PNM
Daggett 3,null,300,01/07/2023,San Bernardino,CA,CISO
Berrenda Mesa Water District,null,6.4,01/07/2023,Kern,CA,CISO
ASA Volney NY Solar I LLC,null,5,01/07/2023,Oswego,NY,NYIS
Lily Garden,null,1,01/07/2023,Waseca,MN,MISO
SR McKellar,null,70,01/07/2023,Madison,TN,TVA
Walnut Grove Demonstration Plant,null,1.5,01/07/2023,Leake,MS,SOCO
WMATA - S. Ave. Carport (East) (CSG),null,1.7,01/07/2023,Prince Georges,MD,PJM
"Mesquite Solar 5, LLC",null,60,01/07/2023,Maricopa,AZ,AZPS
IGS AKC1,null,3.8,01/07/2023,Summit,OH,PJM
USS Golly Gee Solar LLC,null,1,01/07/2023,Sherburne,MN,MISO
South Garden,null,1,01/07/2023,McLeod,MN,MISO
USS Dressen Family Solar LLC,null,1,01/07/2023,Carver,MN,MISO
USS Wolf Solar LLC,null,1,01/07/2023,Yellow Medicine,MN,MISO
USS Wonder Solar LLC,null,1,01/07/2023,Renville,MN,MISO
"IGS CMH4, LLC",null,4.2,01/07/2023,Madison,OH,PJM
Courtland CSG LLC,null,1,01/07/2023,Nicollet,MN,MISO
Niagara Depot Solar,null,3.5,01/07/2023,Niagara,NY,ISNE
IGS PCW1,null,3.1,01/07/2023,Wood,OH,PJM
Rafterville Solar,null,1,01/07/2023,Kandiyohi,MN,MISO
IGS LAS1,null,1,01/07/2023,Clark,NV,NEVP
Smithfield 3,null,2,01/07/2023,Beaver,UT,WACM
Jicarilla Solar 1 LLC,null,50,01/07/2023,Rio Arriba,NM,PNM
"Cortez Solar 2, LLC",null,5,01/07/2023,Montezuma,CO,WACM
SR Snipesville III,null,107,01/07/2023,Jeff Davis,GA,SOCO
3Colton,null,3.4,01/07/2023,Worcester,MA,ISNE
Yellow Pine Solar,null,125,01/07/2023,Clark,NV,NEVP
NY USLE Rome-Oriskany,null,3.5,01/07/2023,Oneida,NY,NYIS
IMPA Washington Solar Park 2,null,9.9,01/07/2023,Daviess,IN,MISO
ELP - Kipp,null,3.5,01/07/2023,Columbia,NY,NYIS
KDC Solar CV O'Donnell Property LLC,null,2,01/07/2023,Howard,MD,PJM
Sylvan Solar,null,15.2,01/07/2023,Cass,MN,MISO
NY Van Buren II CSG,null,3,01/07/2023,Onondaga,NY,NYIS
Holly Spring Meadows,null,1.2,01/07/2023,Prince Georges,MD,PJM
Cenergy - Waterville (CSG),null,5,01/07/2023,Kennebec,ME,ISNE
Cenergy - Wiscasset (CSG),null,5,01/07/2023,Lincoln,ME,ISNE
Colice Hall Solar,null,17,01/07/2023,Hertford,NC,PJM
MEVS DOT 109,null,1.7,01/07/2023,Kennebec,ME,ISNE
Sandwich,null,2,01/07/2023,Barnstable,MA,ISNE
Adams PV Plant,null,8.3,01/07/2023,Adams,WI,MISO
118 Echo,null,1,01/07/2023,Barnstable,MA,ISNE
Waterboro,null,4.9,01/07/2023,York,ME,ISNE
"VS RXI Mason-Chatsworth, LLC",null,1.8,01/07/2023,Los Angeles,CA,LDWP
Amazon Goodyear,null,2.4,01/07/2023,Maricopa,AZ,AZPS
"Lockhart Solar PV, LLC",Terra-Gen,100.4,01/07/2023,San Bernardino,CA,CISO
New Market Solar,Hecate Energy,35,01/07/2023,Highland,OH,PJM
Austin TX GigaFactory,Tesla,1.9,01/07/2023,Travis,TX,ERCO
Lockhart Solar PV II,Terra-Gen,84.4,01/07/2023,San Bernardino,CA,CISO
Neptune Energy Center Hybrid,null,325,01/06/2023,Pueblo,CO,PSCO
Thunder Wolf Energy Center Hybrid,null,248,01/06/2023,Pueblo,CO,PSCO
"Yellowbud Solar, LLC",null,274,01/06/2023,Ross,OH,PJM
Gaucho Solar,null,20,01/06/2023,Beaver,PA,PJM
Pleasant Hill Solar,null,20,01/06/2023,Suffolk City,VA,PJM
Indiana Crossroads Solar Park,null,200,01/06/2023,White,IN,MISO
NY8 - Darby Solar,null,20,01/06/2023,Rensselaer,NY,NYIS
Canal Road Solar,null,4,01/06/2023,Somerset,NJ,PJM
Summit - Oswego,null,2.2,01/06/2023,Oswego,NY,NYIS
Buena Vista Energy Center,null,120,01/06/2023,Otero,NM,EPE
Sonny Solar LLC,null,40,01/06/2023,Elbert,GA,SOCO
Dane County Solar LLC,null,17.3,01/06/2023,Dane,WI,MISO
Pivot Energy Minnesota Solar 10,null,1,01/06/2023,Stearns,MN,MISO
Pivot Energy Minnesota Solar 1,null,1,01/06/2023,Steele,MN,MISO
"Black Mesa Solar, LLC",null,40,01/06/2023,Elmore,ID,IPCO
Dunns Bridge I Solar,null,265,01/06/2023,Jasper,IN,MISO
"Douglas Pike Solar, LLC",null,1.8,01/06/2023,Providence,RI,ISNE
"GSPP 4643 Twelve Corners Road, LLC",null,4.7,01/06/2023,Cayuga,NY,ISNE
Fayetteville Public Schools (Ozarks),null,1,01/06/2023,Washington,AR,SWPP
Southside SD,null,1,01/06/2023,Pulaski,AR,MISO
Portage Solar Plant,null,11.8,01/06/2023,Columbia,WI,MISO
NJ Airport Solar Project A,null,1,01/06/2023,Essex,NJ,PJM
NJ Airport Solar Project B,null,1,01/06/2023,Essex,NJ,PJM
NJ Airport Solar Project C,null,1,01/06/2023,Essex,NJ,PJM
NJ Airport Solar Project D,null,1,01/06/2023,Essex,NJ,PJM
"Nutting Ridge Solar, LLC",null,4,01/06/2023,Oxford,ME,ISNE
North Kern 1,null,2.5,01/06/2023,Kern,CA,CISO
Centerville (NE),null,1,01/06/2023,Lancaster,NE,SWPP
Bonanza,null,12.5,01/05/2023,Uintah,UT,PACE
Brady,null,8,01/05/2023,Churchill,NV,NEVP
RE Gaskell West 2 LLC,null,45,01/05/2023,Kern,CA,CISO
RE Gaskell West 3 LLC,null,20,01/05/2023,Kern,CA,CISO
RE Gaskell West 4 LLC,null,20,01/05/2023,Kern,CA,CISO
RE Gaskell West 5 LLC,null,20,01/05/2023,Kern,CA,CISO
Eagle Shadow Mountain Solar Farm,null,300,01/05/2023,Clark,NV,NEVP
"Novel Caroline Solar, LLC CSG",null,1,01/05/2023,Chisago,MN,MISO
CA-DGS-California Men's Colony,null,2.2,01/05/2023,San Luis Obispo,CA,CISO
"Ahern Community Solar I, LLC",null,2,01/05/2023,Grundy,IL,PJM
"Concho Valley Solar, LLC",null,172.8,01/05/2023,Tom Green,TX,ERCO
Kearsarge 100 Sohier Rd,null,2,01/05/2023,Essex,MA,ISNE
Fryeburg,null,4.9,01/05/2023,Oxford,ME,ISNE
"Cathcart Solar, LLC",null,5,01/05/2023,Columbus,NC,DUK
"AES Pelletier Solar, LLC",null,4,01/05/2023,Aroostook,ME,NBSO
"AES Daigle Solar, LLC",null,5,01/05/2023,Aroostook,ME,NBSO
Treasure Lane Solar 1,null,4.5,01/05/2023,Kennebec,ME,ISNE
Loring,null,4.1,01/05/2023,Aroostook,ME,ISNE
Davis Solar,null,2,01/05/2023,Orange,NY,NYIS
Bulldog Solar LLC,null,80,01/05/2023,Warren,GA,SOCO
KDC Solar CV Ascend One LLC,null,2,01/05/2023,Howard,MD,PJM
KDC Solar CV Central MD Regional Transit,null,2,01/05/2023,Howard,MD,PJM
City of Rosamond (CA),null,1,01/05/2023,Kern,CA,CISO
ME Novel Lighthouse - Front St. Solar CS,null,3.2,01/05/2023,Somerset,ME,ISNE
Cunningham Solar LLC,null,5,01/05/2023,Fluvanna,VA,PJM
Sidney,null,1.5,01/05/2023,Kennebec,ME,ISNE
"BWC Beech Ridge Brook, LLC",null,5,01/05/2023,Cumberland,ME,ISNE
"GSPP 7024 Fox Rd, LLC",null,5,01/05/2023,Oneida,NY,ISNE
ACC,null,2,01/05/2023,Howard,AR,MISO
UADA,null,2.8,01/05/2023,Howard,AR,SWPP
Bulloch Rushing,null,2.9,01/05/2023,Bulloch,GA,SOCO
Solomon-DS&O,null,1,01/05/2023,Dickinson,KS,SWPP
BH CSG 3,null,1.5,01/05/2023,Otero,CO,WACM
"IP Radian, LLC",Intersect Power,320,01/05/2023,Brown,TX,ERCO
Salt City Solar Project - Hybrid,Engie,49.9,01/05/2023,Ross,OH,PJM
Aero Haven Solar,null,2.6,01/04/2023,Burlington,NJ,PJM
Montague Solar,null,162,01/04/2023,Gilliam,OR,AVRN
AES Waikoloa Solar Hybrid,null,30,01/04/2023,Hawaii,HI,HECO
Wing,null,80,01/04/2023,Covington,AL,SOCO
Trona Solar III,null,2,01/04/2023,Inyo,CA,CISO
Jicarilla Solar 2,null,50,01/04/2023,Rio Arriba,NM,PNM
Bay Ranch Solar Power Plant,null,74.9,01/04/2023,Bay,FL,FPC
High Springs Solar Power Plant,null,74.9,01/04/2023,Alachua,FL,FPC
Hardeetown Solar Power Plant,null,74.9,01/04/2023,Levy,FL,FPC
FPL Saw Palmetto Solar Energy Center,null,74.5,01/04/2023,Bay,FL,FPL
FPL Cypress Pond Solar,null,74.5,01/04/2023,Washington,FL,FPL
FPL Etonia Creek,null,74.5,01/04/2023,Putnam,FL,FPL
Kearsarge Smithfield LLC,null,8,01/04/2023,Providence,RI,ISNE
Bizer Creek,null,1.5,01/04/2023,Erie,NY,NYIS
Friendship I,null,2,01/04/2023,Howard,MD,PJM
Friendship II,null,2,01/04/2023,Howard,MD,PJM
Ripley,null,27.5,01/04/2023,Charles,MD,PJM
Bulloch County GA S4 LLC,null,3,01/04/2023,Bulloch,GA,SOCO
Bulloch County GA S3 LLC,null,3,01/04/2023,Bulloch,GA,SOCO
Richmond County GA S2 LLC,null,3,01/04/2023,Richmond,GA,SOCO
Upson County GA S1 LLC,null,3,01/04/2023,Upson,GA,SOCO
Red Mesa Solar Project,null,72,01/04/2023,San Juan,UT,PACE
Chaves County Solar II,null,30,01/04/2023,Chaves,NM,SWPP
"Hubble Solar, LLC",null,2,01/04/2023,Columbus,NC,CPLE
Boyd Soccerplex,null,1,01/04/2023,Montgomery,MD,PJM
Hamilton,null,1,01/04/2023,Mercer,NJ,PJM
Pierce Eunice,null,1.9,01/04/2023,Pierce,GA,SOCO
P66 Rodeo Solar,null,30.2,01/04/2023,Contra Costa,CA,CISO
Washington Solar (SC),null,2,01/03/2023,Marion,SC,CPLE
Emerald Grove,null,108,01/03/2023,Pecos,TX,ERCO
Sycamore Solar,null,42,01/03/2023,Pittsylvania,VA,PJM
Amazon - Stockton - Roof (SCK1) - (CA),null,2.6,01/03/2023,San Joaquin,CA,CISO
OETN1,null,100,01/03/2023,Obion,TN,TVA
South River H4 Solar Energy Storage,null,0.5,01/03/2023,Sampson,NC,CPLE
Arba Solar Energy Storage,null,5,01/03/2023,Greene,NC,CPLE
Rose Acre Solar Energy Storage,null,2,01/03/2023,Hyde,NC,CPLE
Hamlet Solar Energy Storage,null,0.5,01/03/2023,Richmond,NC,CPLE
Wake RJ3 Solar Energy Storage,null,0.5,01/03/2023,Wake,NC,CPLE
Norton,null,1.4,01/03/2023,Bristol,MA,ISNE
Kearsarge Upper Union,null,1,01/03/2023,Norfolk,MA,ISNE
CL-Viaduct LLC,null,20,01/03/2023,Clearfield,PA,PJM
Aero Solar Facility,null,2,01/03/2023,Boone,KY,PJM
NY8 - Grissom Solar,null,20,01/03/2023,Montgomery,NY,NYIS
NY8 - Janis Solar,null,20,01/03/2023,Cortland,NY,NYIS
Hildreth Solar Power Plant,null,74.9,01/03/2023,Suwannee,FL,FPC
Watlington Solar,null,20,01/03/2023,Halifax,VA,PJM
Millersport GM 1,null,5,01/03/2023,Erie,NY,NYIS
"Polk County GA S1, LLC",null,3,01/03/2023,Polk,GA,SOCO
Johnson CSG 2,null,1,01/03/2023,Chisago,MN,MISO
"Cortez Solar 3, LLC",null,2,01/03/2023,Montezuma,CO,WACM
Sunnyside 1 Solar,null,5,01/03/2023,Schenectady,NY,NYIS
Arthur 2 Solar,null,5,01/03/2023,Columbus,NC,CPLE
Eastover Solar,null,73.6,01/03/2023,Richland,SC,CPLE
Vulcan San Emidio Solar,null,1.4,01/03/2023,Kern,CA,CISO
FreeState Crooked Post Solar I,null,1.6,01/03/2023,Shawnee,KS,SWPP
The Village at Orchard Ridge (TVOR),null,1.4,01/03/2023,Frederick,VA,PJM
Howell (Lowes),null,1,01/03/2023,Monmouth,NJ,PJM
"GSPP NESV, LLC",null,1.1,01/03/2023,Bristol,MA,ISNE
Mount Dora Solar Farm F,null,2.1,01/03/2023,Lake,FL,FPC
Mount Dora Solar Farm W,null,1.9,01/03/2023,Lake,FL,FPC
Grossmont College,null,2.6,01/03/2023,San Diego,CA,CISO
Lone Oak,null,2.9,01/03/2023,Kings,CA,CISO
Sunnyside 2 Solar,null,5,01/03/2023,Schenectady,NY,NYIS
Polk Cedartown 2,null,2.4,01/03/2023,Polk,GA,SOCO
Overlook,null,4.9,01/03/2023,Worcester,MA,ISNE
St. James Solar (LA),null,20,01/02/2023,St James,LA,MISO
Black Bear Solar 1,null,100,01/02/2023,Montgomery,AL,SOCO
"DePue Holdings, LLC",null,20,01/02/2023,Bureau,IL,MISO
Fort Bragg - Camp Mackall PV BESS System,null,1,01/02/2023,Richmond,NC,CPLE
Bryant Road Solar,null,2,01/02/2023,Spartanburg,SC,DUK
Bellflower Solar 1,null,152.5,01/02/2023,Henry,IN,PJM
