date,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,latitude,longitude
2024-10-22,91.6983619816283,44.545834,31.041666,22.236,86.50317,4.396501,29.0,1012.8542,808.2917,35.325,12.733334,41.833332,0.0,0.90625,2.0395834,,,,,,,,19.619333,25.557348,29.0,0.0,37.791668,912.6137,86.75,22.875,60.458332,73.0,,0.15780966,0.43434414,7.278807,134.12018,118.733116,12.825,24.060999,0.4995,Bangalore,12.9716,77.5946
2024-10-23,68.47676293921266,29.725,20.654167,22.365168,85.76241,5.1811347,18.8,1012.1875,470.58334,26.5,10.325,55.666668,0.0,1.775,2.2437499,,,,,,,,19.619333,25.587946,18.8,0.0,37.25,912.054,83.833336,26.875,42.0,71.0,,0.16834778,0.45537663,7.707741,91.522575,83.59083,13.2,24.192251,0.5006667,Bangalore,12.9716,77.5946
2024-10-24,81.42895263696221,38.466663,26.762499,21.477667,84.89767,4.799618,0.7,1012.125,796.7917,40.179165,12.875,48.791668,0.0,1.05625,2.325,,,,,,,,18.6235,24.151695,0.7,0.0,15.0,911.71454,99.041664,10.25,31.25,98.375,,0.12757142,0.4459138,7.6636243,248.2704,244.3445,10.86,23.411001,0.4834583,Bangalore,12.9716,77.5946
2024-10-25,135.43701702916724,92.887505,59.32083,21.800583,75.36992,6.8053174,0.0,1012.0,1111.25,52.745834,18.183332,60.333332,2.4583333,1.9145833,2.0645833,,,,,,,,16.894335,23.537033,0.0,0.0,2.5,911.7016,83.208336,9.0,3.3333333,83.125,,0.17440774,0.73301846,11.897246,208.9457,278.81027,13.724999,23.97975,0.46383333,Bangalore,12.9716,77.5946
2024-10-26,149.8207246504332,104.725,64.825005,21.383917,72.17888,9.164426,0.0,1011.6541,1021.8333,43.229168,16.179167,66.875,5.9583335,1.6083332,1.8520833,,,,,,,,15.838084,22.343897,0.0,0.0,0.083333336,911.2552,5.5416665,2.125,4.125,0.125,,0.18424161,0.8002276,15.295634,247.17036,291.35883,16.74,23.504751,0.44358334,Bangalore,12.9716,77.5946
2024-10-27,128.25313527731726,71.770836,47.041668,21.296417,75.477165,7.2018924,0.0,1010.7375,966.2083,34.55,12.891666,74.833336,1.9583334,1.8499999,2.0479167,,,,,,,,16.40475,22.750315,0.0,0.0,0.9583333,910.40314,34.666668,5.5,12.791667,22.583334,,0.17337342,0.7157149,11.626132,193.22414,254.32146,14.384999,23.163084,0.43204165,Bangalore,12.9716,77.5946
2024-10-28,122.48841252554337,71.333336,46.2,22.104752,75.71081,5.8891397,0.0,1010.4875,1117.5,36.958332,12.912499,83.791664,3.5416667,1.8270832,2.0583334,,,,,,,,17.213083,24.171156,0.0,0.0,0.45833334,910.43646,19.5,5.125,14.416667,3.8333333,,0.1818813,0.74153894,9.808137,254.4641,262.79202,12.45,23.919334,0.421875,Bangalore,12.9716,77.5946
2024-10-29,129.44783720900082,75.88333,49.541668,22.540167,75.21358,6.51243,0.4,1011.2417,1055.9584,41.6375,15.462501,70.75,3.5833333,1.7791667,2.0916667,,,,,,,,17.575584,24.603308,0.4,0.0,9.125,911.25397,28.333334,11.208333,7.2083335,15.958333,,0.1775397,0.7726903,11.029092,178.61275,173.83635,13.32,24.427668,0.41395834,Bangalore,12.9716,77.5946
2024-10-30,145.20065739280298,89.77917,58.3125,22.388084,81.2154,4.352374,1.1,1012.2708,1449.625,32.820835,14.2375,91.5,4.6666665,1.4895834,1.7770834,,,,,,,,18.688084,25.269228,1.1,0.0,13.458333,912.135,36.416668,12.583333,15.333333,12.208333,,0.16672356,0.59335846,8.512382,119.51182,123.85963,10.95,24.5485,0.42004168,Bangalore,12.9716,77.5946
2024-10-31,124.80209330569359,71.61667,46.662502,22.675583,82.53486,4.2790933,4.5,1012.9709,1015.9583,22.595833,9.333333,97.208336,2.875,1.1,1.5354166,,,,,,,,19.325583,25.798164,4.5,0.0,16.5,912.85956,60.583332,29.208334,31.208334,20.333334,,0.15018131,0.5447577,8.142765,128.29887,126.50962,11.579999,24.615168,0.42704165,Bangalore,12.9716,77.5946
2024-11-01,80.31481514968763,38.083332,25.983332,22.131834,85.233116,6.650582,7.7000003,1014.2,1030.7916,28.175001,7.7291665,54.666668,0.125,0.8770833,1.9520832,,,,,,,,19.352667,24.838816,7.7000003,0.0,25.333334,913.7957,55.416668,40.375,20.458334,4.4166665,,0.1391808,0.44355068,11.069584,107.59884,108.884636,14.535,24.250586,0.42700002,Bangalore,12.9716,77.5946
2024-11-02,62.854789953116345,27.1,18.1625,22.144333,82.293144,10.338857,1.2,1014.24585,514.4167,18.933332,6.4208336,59.583332,0.41666666,1.6166667,2.04375,,,,,,,,18.636,24.042456,1.2,0.0,20.416666,913.8377,59.208332,44.541668,18.958334,9.5,,0.16316241,0.5565185,15.787858,93.970604,93.22292,21.314999,24.225584,0.40420833,Bangalore,12.9716,77.5946
